"...1","placekey","region","sub_category","category_tags","visitor_home_cbg","count"
3435,"restaurant_42","OH","Full-Service Restaurants","Caribbean Food","390351219001",6
3436,"restaurant_42","OH","Full-Service Restaurants","Caribbean Food","390351221002",5
3437,"restaurant_42","OH","Full-Service Restaurants","Caribbean Food","390351841042",4
3438,"restaurant_42","OH","Full-Service Restaurants","Caribbean Food","390351222002",4
3439,"restaurant_42","OH","Full-Service Restaurants","Caribbean Food","390351218001",4
3440,"restaurant_42","OH","Full-Service Restaurants","Caribbean Food","390351217004",4
3441,"restaurant_42","OH","Full-Service Restaurants","Caribbean Food","390351223001",4
3442,"restaurant_42","OH","Full-Service Restaurants","Caribbean Food","390351207021",4
3443,"restaurant_42","OH","Full-Service Restaurants","Caribbean Food","390351208021",4
3444,"restaurant_42","OH","Full-Service Restaurants","Caribbean Food","390351404001",4
3445,"restaurant_42","OH","Full-Service Restaurants","Caribbean Food","390351204001",4
3446,"restaurant_42","OH","Full-Service Restaurants","Caribbean Food","390351215001",4
3447,"restaurant_42","OH","Full-Service Restaurants","Caribbean Food","390351275011",4
3448,"restaurant_42","OH","Full-Service Restaurants","Caribbean Food","390351836042",4
3449,"restaurant_42","OH","Full-Service Restaurants","Caribbean Food","390351712061",4
3450,"restaurant_42","OH","Full-Service Restaurants","Caribbean Food","390351214032",4
347395,"restaurant_53","CA","Snack and Nonalcoholic Beverage Bars","Brunch,Coffee Shop,Sandwich Shop","060730018003",4
347396,"restaurant_53","CA","Snack and Nonalcoholic Beverage Bars","Brunch,Coffee Shop,Sandwich Shop","060730206021",4
347397,"restaurant_53","CA","Snack and Nonalcoholic Beverage Bars","Brunch,Coffee Shop,Sandwich Shop","060730021005",4
347398,"restaurant_53","CA","Snack and Nonalcoholic Beverage Bars","Brunch,Coffee Shop,Sandwich Shop","060730018002",4
572889,"restaurant_31","SC","Full-Service Restaurants","Seafood","450130009022",18
572890,"restaurant_31","SC","Full-Service Restaurants","Seafood","450130009021",14
572891,"restaurant_31","SC","Full-Service Restaurants","Seafood","450130009031",10
572892,"restaurant_31","SC","Full-Service Restaurants","Seafood","450130009023",9
572893,"restaurant_31","SC","Full-Service Restaurants","Seafood","450130005021",7
572894,"restaurant_31","SC","Full-Service Restaurants","Seafood","450130009011",6
572895,"restaurant_31","SC","Full-Service Restaurants","Seafood","450130007004",6
572896,"restaurant_31","SC","Full-Service Restaurants","Seafood","450130012001",5
572897,"restaurant_31","SC","Full-Service Restaurants","Seafood","450130008003",5
572898,"restaurant_31","SC","Full-Service Restaurants","Seafood","450130010002",5
572899,"restaurant_31","SC","Full-Service Restaurants","Seafood","450130005033",4
572900,"restaurant_31","SC","Full-Service Restaurants","Seafood","450130003001",4
572901,"restaurant_31","SC","Full-Service Restaurants","Seafood","450130009012",4
572902,"restaurant_31","SC","Full-Service Restaurants","Seafood","450130007006",4
572903,"restaurant_31","SC","Full-Service Restaurants","Seafood","450130007001",4
572904,"restaurant_31","SC","Full-Service Restaurants","Seafood","450850003003",4
572905,"restaurant_31","SC","Full-Service Restaurants","Seafood","370810170001",4
572906,"restaurant_31","SC","Full-Service Restaurants","Seafood","511277003004",4
572907,"restaurant_31","SC","Full-Service Restaurants","Seafood","450130004001",4
572908,"restaurant_31","SC","Full-Service Restaurants","Seafood","450130001001",4
572909,"restaurant_31","SC","Full-Service Restaurants","Seafood","450130011011",4
572910,"restaurant_31","SC","Full-Service Restaurants","Seafood","450130005022",4
572911,"restaurant_31","SC","Full-Service Restaurants","Seafood","450130006002",4
572912,"restaurant_31","SC","Full-Service Restaurants","Seafood","260992514003",4
572913,"restaurant_31","SC","Full-Service Restaurants","Seafood","010890110143",4
572914,"restaurant_31","SC","Full-Service Restaurants","Seafood","450790103072",4
572915,"restaurant_31","SC","Full-Service Restaurants","Seafood","171194037012",4
572916,"restaurant_31","SC","Full-Service Restaurants","Seafood","450130003003",4
572917,"restaurant_31","SC","Full-Service Restaurants","Seafood","450130011022",4
572918,"restaurant_31","SC","Full-Service Restaurants","Seafood","450130010001",4
572919,"restaurant_31","SC","Full-Service Restaurants","Seafood","450130005031",4
572920,"restaurant_31","SC","Full-Service Restaurants","Seafood","450750109003",4
572921,"restaurant_31","SC","Full-Service Restaurants","Seafood","130210134103",4
572922,"restaurant_31","SC","Full-Service Restaurants","Seafood","450790101033",4
572923,"restaurant_31","SC","Full-Service Restaurants","Seafood","371190056181",4
572924,"restaurant_31","SC","Full-Service Restaurants","Seafood","450379705023",4
572925,"restaurant_31","SC","Full-Service Restaurants","Seafood","371290116034",4
572926,"restaurant_31","SC","Full-Service Restaurants","Seafood","130771703052",4
572927,"restaurant_31","SC","Full-Service Restaurants","Seafood","450130005013",4
572928,"restaurant_31","SC","Full-Service Restaurants","Seafood","450190046141",4
572929,"restaurant_31","SC","Full-Service Restaurants","Seafood","450130002003",4
572930,"restaurant_31","SC","Full-Service Restaurants","Seafood","450130008001",4
572931,"restaurant_31","SC","Full-Service Restaurants","Seafood","450130005011",4
899535,"restaurant_1","NM","Limited-Service Restaurants","Counter Service,Dinner,Fast Food,Lunch,Pizza","350010040011",4
899536,"restaurant_1","NM","Limited-Service Restaurants","Counter Service,Dinner,Fast Food,Lunch,Pizza","350010004011",4
899537,"restaurant_1","NM","Limited-Service Restaurants","Counter Service,Dinner,Fast Food,Lunch,Pizza","350010009032",4
899538,"restaurant_1","NM","Limited-Service Restaurants","Counter Service,Dinner,Fast Food,Lunch,Pizza","350010007075",4
899539,"restaurant_1","NM","Limited-Service Restaurants","Counter Service,Dinner,Fast Food,Lunch,Pizza","350010009043",4
