"priority","pattern","category"
1,"Argentinian","Latin American: Argentinian Food"
1,"Australian","Oceanian: Australian Food"
1,"Austrian","European: Austrian Food"
1,"Brazilian","Latin American: Brazilian Food"
1,"Burmese","Asian: Burmese Food"
1,"Canadian","North American: Canadian Food"
1,"Chinese","Asian: Chinese Food"
1,"Cuban","Latin American: Cuban Food"
1,"Ethiopian","African: Ethiopian Food"
1,"Filipino","Asian: Filipino Food"
1,"French","European: French Food"
1,"Creperie","European: French Food"
1,"Rotisserie","European: French Food"
1,"German","European: German Food"
1,"Greek","European: Greek Food"
1,"Hungarian","European: Hungarian Food"
1,"Indian","Asian: Indian Food"
1,"Irish","European: Irish or British Food"
1,"Fish & Chips","European: Irish or British Food"
1,"Irish Pub","European: Irish or British Food"
1,"Italian","European: Italian Food"
1,"Pizza","European: Italian Food"
1,"Japanese","Asian: Japanese Food"
1,"Sushi","Asian: Japanese Food"
1,"Korean","Asian: Korean Food"
1,"Lebanese","Asian: Lebanese Food"
1,"Mexican","Latin American: Mexican Food"
1,"Mongolian","Asian: Mongolian Food"
1,"Moroccan","African: Moroccan Food"
1,"Pakistani","Asian: Pakistani Food"
1,"Peruvian","Latin American: Peruvian Food"
1,"Polish","European: Polish Food"
1,"Portuguese","European: Portuguese Food"
1,"Russian","European: Russian Food"
1,"Spanish","European: spanish Food"
1,"Tapas","European: spanish Food"
1,"Thai","Asian: Thai Food"
1,"Turkish","Asian: Turkish Food"
1,"Vietnamese","Asian: Vietnamese Food"
1,"Hawaiian","Oceanian: Hawaiian Food"
1,"Guamanian","Oceanian: Guamanian Food"
2,"Cajun and Creole Food","North American: Cajun and Creole Food"
2,"Southwestern Food","North American: Southwestern Food"
2,"BBQ and Southern Food","North American: BBQ and Southern Food"
3,"Polynesian","Oceanian: Other Polynesian Food"
3,"Scandinavian","European: Scandinavian Food"
3,"Caribbean","Latin American: Other Caribbean Food"
4,"Latin American","Latin American: Other"
4,"European","European: Other"
4,"Asian","Asian: Other"
4,"African","African: Other"
5,NA,"North American: American Food"
