"priority","pattern","category"
1,"Fine Dining","Fine Dining"
2,"Fast Food","Fast Food"
2,"Drive Through","Fast Food"
3,"Buffet","Buffet"
3,"Cafeteria","Buffet"
4,"Cafe","Cafe"
4,"Coffee Shop","Cafe"
5,"Casual Dining","Casual Dining"
5,"Diner","Casual Dining"
5,"Bistro","Casual Dining"
6,"Bar or Pub","Bar or Pub"
6,"Sports Bar","Bar or Pub"
6,"Irish Pub","Bar or Pub"
6,"Brewery or Brewpub","Bar or Pub"
6,"Wine Bar","Bar or Pub"
6,"Cocktail Lounge","Bar or Pub"
6,"Beer Garden","Bar or Pub"
6,"Dive Bar","Bar or Pub"
7,"Full-Service Restaurants","Casual Dining"
8,"Snacks","Snack"
8,"Dessert","Snack"
8,"Ice Cream Shop","Snack"
8,"Gelato Shop","Snack"
8,"Bakery","Snack"
9,"Counter Service","Fast-casual"
9,"Hot Dogs","Fast-casual"
9,"Donut Shop","Fast-casual"
9,"Chicken Wings","Fast-casual"
9,"Burgers","Fast-casual"
9,"Sandwich Shop","Fast-casual"
9,"Bagel Shop","Fast-casual"
9,"Salad","Fast-casual"
9,"Deli","Fast-casual"
10,"Truck or Cart","Food Truck"
11,"Bubble Tea Shop","Specialty Drinks/Tea"
11,"Smoothie & Juice Bar","Specialty Drinks/Tea"
11,"Beverages","Specialty Drinks/Tea"
11,"Tea House","Specialty Drinks/Tea"
12,NA,"Other"
